event_message,event_type,function_id,id,level,timestamp
"[import-emails] Request params: {
  gmailAccountId: ""5c3addf7-e761-469e-9b0a-33bfb0cc1b71"",
  maxResults: 20,
  query: undefined,
  fullSync: true
}
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,9b601bff-e6ae-4b40-83a2-a8a77b68d331,info,1762083426431000
"[import-emails] User authenticated: 92f51029-47a8-450e-bc01-a525d346d1ee
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,cb17dbad-5294-4e5e-a552-9f163a07066f,info,1762083426430000
"[import-emails] Auth header present: true
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,42e94570-6456-4754-bfe0-bd447e41fc55,info,1762083426107000
"[import-emails] Authenticating user...
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,f0586125-502f-4742-9da6-b1d60001f639,info,1762083426106000
"[import-emails] Request received: POST http://gutmosmrbvnidvdooqdt.supabase.co/import-emails
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,253f096b-0e4f-4b3b-9fcb-3e0136907a67,info,1762083426102000
"Listening on http://localhost:9999/
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,2488c621-db5f-4412-871e-4357e0469a94,info,1762083426100000
booted (time: 75ms),Boot,1bcdf3ea-3000-4007-961c-a26c44fd3508,fe740bad-d109-4232-85b5-7a66740b842d,log,1762083426092000
"[import-emails] Request received: OPTIONS http://gutmosmrbvnidvdooqdt.supabase.co/import-emails
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,da3feadc-4bf7-40b2-a658-fd827d7fe7a5,info,1762083425841000
"[import-emails] Handling OPTIONS preflight
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,7dd2324b-c87b-472e-bb27-5cc2a73384aa,info,1762083425841000
"Listening on http://localhost:9999/
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,bfb9a7b5-416c-43ac-acff-2dd36ef0ef87,info,1762083425837000
booted (time: 59ms),Boot,1bcdf3ea-3000-4007-961c-a26c44fd3508,734cdc8b-3065-4a62-9e06-4773975cf609,log,1762083425830000
shutdown,Shutdown,1bcdf3ea-3000-4007-961c-a26c44fd3508,c2709172-0cba-49f6-a2a2-8e5713d1942a,log,1762083423689000
shutdown,Shutdown,1bcdf3ea-3000-4007-961c-a26c44fd3508,5b7625da-bdb9-4e67-88b0-b4975c63337f,log,1762083423390000
"[import-emails] Request params: {
  gmailAccountId: ""5c3addf7-e761-469e-9b0a-33bfb0cc1b71"",
  maxResults: 20,
  query: undefined,
  fullSync: true
}
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,4fd40b0f-9291-43b9-9dc6-8d2a1d9a4b6b,info,1762083224020000
"[import-emails] User authenticated: 92f51029-47a8-450e-bc01-a525d346d1ee
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,94330135-7d89-40c3-9af7-d19866b5c5bb,info,1762083224019000
"[import-emails] Auth header present: true
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,08cee4d2-9b9a-4b4e-a33b-0ad1c186b238,info,1762083223679000
"[import-emails] Authenticating user...
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,b161f2fe-8938-485f-a6c4-6876e8e044c2,info,1762083223678000
